id;name;slug;thumbnail;description
1;Smartphone;smart-phone;http://res.cloudinary.com/dgjrkjkch/image/upload/v1733073969/categories/dey9hpi9fmirzg0ghxp1.png;Thiết bị thông minh
2;Laptop;lap-top;http://res.cloudinary.com/dgjrkjkch/image/upload/v1733073968/categories/bdgmzraj4ucdh1u1c4hu.png;Thiết bị thông minh
3;Tablet;tablet;http://res.cloudinary.com/dgjrkjkch/image/upload/v1733073972/categories/co5fluchzvplwoowhbvl.jpg;Thiết bị thông minh
4;Camera;camera;http://res.cloudinary.com/dgjrkjkch/image/upload/v1733073960/categories/r1skhghqkfweia0xqead.png;Thiết bị thông minh
5;Headphone;head-phone;http://res.cloudinary.com/dgjrkjkch/image/upload/v1733073965/categories/o6plaaed7uxtfmqawkjw.png;Thiết bị thông minh
6;SmartWatch;smart-watch;http://res.cloudinary.com/dgjrkjkch/image/upload/v1733073970/categories/h4a5npbtdqbhymmowkxh.png;Thiết bị thông minh
7;GamingConsole;gaming-console;http://res.cloudinary.com/dgjrkjkch/image/upload/v1733073963/categories/f2q27jeq52gcrayvlfa2.jpg;Thiết bị thông minh
8;TV;tv;http://res.cloudinary.com/dgjrkjkch/image/upload/v1733073973/categories/izrfmh3mokrwnggnucob.jpg;Thiết bị thông minh
9;HomeAppliance;home-appliance;http://res.cloudinary.com/dgjrkjkch/image/upload/v1733073966/categories/pg6bibzd1f22mwqshmhu.png;Thiết bị thông minh
10;Destop;destop;http://res.cloudinary.com/dgjrkjkch/image/upload/v1733073962/categories/ld3cb5r6im9dngkx6enu.jpg;Thiết bị thông minh
