id;cost;images;price;properties;sku;status;product_id
1;900;{};1200;{"color": "silver", "storage": "128GB"};IP15P-128-SL;1;1
2;950;{};1300;{"color": "gold", "storage": "256GB"};IP15P-256-GL;1;1
3;2000;{};2500;{"chip": "M3 Max", "ram": "16GB"};MBP16-M3M16;1;2
4;2200;{};2800;{"chip": "M3 Max", "ram": "32GB"};MBP16-M3M32;1;2
5;500;{};600;{"color": "silver", "connectivity": "Wi-Fi"};SGT-S9-SLWF;1;3
6;550;{};700;{"color": "black", "connectivity": "Wi-Fi + Cellular"};SGT-S9-BKCL;1;3
7;300;{};400;{"color": "silver"};WH1000XM5-SL;1;4
8;320;{};450;{"color": "black"};WH1000XM5-BK;1;4
9;1500;{};2000;{"size": "55 inch", "resolution": "4K"};OLED55-4K;1;5
10;2000;{};3000;{"size": "65 inch", "resolution": "4K"};OLED65-4K;1;5
11;1500;{};2000;{"cpu": "Intel i7", "ram": "16GB", "gpu": "RTX 3060"};ROG-I7-16G3060;1;6
12;1800;{};2400;{"cpu": "Intel i9", "ram": "32GB", "gpu": "RTX 3070"};ROG-I9-32G3070;1;6
13;250;{};350;{"color": "pink", "band_material": "silicone"};PW2-SL-SILICONE;1;7
14;270;{};400;{"color": "black", "band_material": "leather"};PW2-BK-LEATHER;1;7
15;90;{};130;{"color": "grey"};SLR-GREY;1;8
16;95;{};150;{"color": "black"};SLR-BLACK;1;8
17;350;{};500;{"edition": "Digital Edition", "storage": "825GB"};PS5-DE-825GB;1;9
18;400;{};600;{"edition": "Standard Edition", "storage": "825GB"};PS5-SE-825GB;1;9
19;150;{};200;{"color": "white", "filter_type": "HEPA"};XMP-WH-HEPA;1;10
20;170;{};230;{"color": "grey", "filter_type": "HEPA + Carbon"};XMP-GR-HEPACARBON;1;10		
